age,sex,education,income_respondent,children_in_household,marital_status,feelings_life,has_partner
18.6,Male,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",5,0
54.3,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Living common-law,10,1
80,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
37,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",One child,Living common-law,9,1
27.3,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",One child,"Single, never married",8,0
68.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",Two children,Married,10,1
53.6,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Living common-law,8,1
63.4,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",No child,Married,10,1
34.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",One child,"Single, never married",7,0
36.2,Male,Trade certificate or diploma,"$100,000 to $ 124,999",Two children,Living common-law,8,1
80,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,8,0
69.4,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Separated,9,0
26.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",One child,Living common-law,8,1
60.6,Male,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,Living common-law,8,1
51.9,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Separated,5,0
61.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",No child,Married,9,1
47.5,Female,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",Two children,Separated,9,0
46.6,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",Two children,Separated,7,0
53.6,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Living common-law,7,1
68.6,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,10,1
45.1,Male,Trade certificate or diploma,"$25,000 to $49,999",No child,Living common-law,8,1
51,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,"Single, never married",6,0
70.8,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Living common-law,10,1
60.8,Female,Trade certificate or diploma,"Less than $25,000",No child,"Single, never married",8,0
53.1,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Separated,6,0
34,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",Three or more children,Married,9,1
72.4,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,7,1
80,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,9,0
65.9,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Living common-law,9,1
61.8,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Widowed,5,0
37,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",One child,Married,10,1
58.4,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",6,0
80,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,9,1
42.3,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",One child,Living common-law,8,1
44.3,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Divorced,6,0
26.7,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",Two children,"Single, never married",10,0
24.1,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
41.1,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",Two children,Married,10,1
26.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",8,0
31.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",One child,Living common-law,9,1
57.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,6,1
15.4,Female,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",9,0
16.4,Female,Less than high school diploma or its equivalent,"Less than $25,000",Two children,"Single, never married",8,0
41.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Separated,7,0
24.9,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Living common-law,8,1
54,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,"Single, never married",8,0
17.1,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",8,0
63.9,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,"Single, never married",8,0
57.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
74.8,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,7,0
41.1,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Two children,Married,7,1
59.9,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Divorced,4,0
53.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Married,7,1
35.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",7,0
73.3,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,6,1
80,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,8,1
72.3,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Widowed,5,0
56.3,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Divorced,10,0
64.9,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,"Single, never married",0,0
29.8,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,"Single, never married",7,0
71,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,9,1
33,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Two children,Married,10,1
25.3,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Living common-law,8,1
63.4,Male,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,Married,8,1
79,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,9,0
57.3,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,4,1
45.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",No child,"Single, never married",10,0
55.8,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",One child,Married,8,1
24.2,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,10,1
47.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Married,8,1
41.4,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",Two children,Married,7,1
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,9,0
29.3,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,7,1
79.1,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
59.3,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",No child,Married,8,1
47.3,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",Three or more children,Living common-law,8,1
35.9,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Three or more children,Divorced,9,0
22.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",9,0
53.8,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
51.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",One child,Married,10,1
45,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",One child,Married,10,1
72.1,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Divorced,6,0
73,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Living common-law,10,1
70.8,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Married,9,1
63.8,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",8,0
46.8,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",Three or more children,Married,10,1
58.1,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Divorced,2,0
36.5,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",Two children,Married,9,1
60.3,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Married,10,1
66.1,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",No child,Married,9,1
33.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",Two children,Married,9,1
76.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",8,0
74.8,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,"Single, never married",8,0
70.6,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,10,0
27.8,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Living common-law,8,1
80,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Separated,0,0
39.6,Male,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Two children,Living common-law,8,1
30.8,Male,University certificate or diploma below the bachelor's level,"Less than $25,000",One child,Married,9,1
69.6,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,Married,10,1
56.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,6,1
76.8,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,8,0
30.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Separated,8,0
80,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,7,1
33.3,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",One child,Married,8,1
63.8,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Divorced,8,0
57,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Living common-law,6,1
41.3,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,"Single, never married",7,0
18.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",Three or more children,"Single, never married",8,0
40.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",One child,Married,7,1
48.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Living common-law,8,1
65.3,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
29.7,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,9,1
33.1,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",6,0
25.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",4,0
39.3,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",Three or more children,Living common-law,10,1
69.9,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",10,0
67.1,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,9,1
31.8,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,"Single, never married",6,0
61.1,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,5,1
65.6,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Divorced,9,0
59,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Divorced,8,0
63.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,10,1
43.9,Male,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",No child,Living common-law,10,1
51.3,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,10,1
52.9,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,9,1
40.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",One child,Married,7,1
76.6,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,8,0
16.7,Female,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",9,0
62.3,Male,Trade certificate or diploma,"$75,000 to $99,999",No child,Married,10,1
57.2,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Widowed,1,0
80,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Widowed,10,0
69.2,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Divorced,7,0
64.9,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",10,0
70.6,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,9,0
73.4,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,10,1
80,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
67.4,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Divorced,9,0
61.8,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,7,1
67.4,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Widowed,7,0
47.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",5,0
52.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,"Single, never married",8,0
20.3,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",5,0
31.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",One child,Living common-law,9,1
78,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,9,1
24.3,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",10,0
50,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,9,1
63.1,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,10,1
62,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,"Single, never married",9,0
36.4,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,"Single, never married",9,0
63.1,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",No child,Divorced,9,0
68.2,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,7,0
53.5,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",One child,Married,8,1
51.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,7,1
68,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,Married,9,1
57.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,Married,10,1
51.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,5,1
68,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,Married,10,1
61.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,"Single, never married",10,0
24.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",9,0
71.6,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,10,0
68.3,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,7,1
59.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",No child,Married,8,1
41.4,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Two children,Separated,6,0
66.8,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,8,1
56.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,10,1
69.3,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,9,1
76.6,Male,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",No child,Married,9,1
53.7,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Living common-law,9,1
76,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,10,0
33,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,7,1
30.6,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",One child,"Single, never married",9,0
53.9,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Living common-law,6,1
53.3,Male,Trade certificate or diploma,"$125,000 and more",No child,Married,8,1
70.5,Male,Trade certificate or diploma,"$50,000 to $74,999",No child,Married,9,1
65.3,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,10,1
72.5,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,8,1
37,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",One child,"Single, never married",8,0
31.2,Male,Trade certificate or diploma,"$25,000 to $49,999",Two children,Living common-law,9,1
53.7,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Divorced,10,0
80,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Separated,5,0
61.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,8,1
45.8,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",Two children,Married,9,1
52.3,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,Living common-law,10,1
32.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",One child,"Single, never married",7,0
66.8,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,10,1
65.6,Male,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,Divorced,1,0
63.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,Married,9,1
80,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",9,0
67.8,Female,Trade certificate or diploma,"Less than $25,000",No child,"Single, never married",8,0
66.8,Male,Trade certificate or diploma,"Less than $25,000",No child,Divorced,10,0
61.9,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",9,0
71.3,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,5,1
40.4,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",Three or more children,Married,7,1
26,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,8,1
57.3,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",No child,Married,8,1
35.9,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,Living common-law,8,1
63.1,Male,Trade certificate or diploma,"$25,000 to $49,999",No child,Married,10,1
38.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,9,1
75,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",No child,"Single, never married",5,0
63.3,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
65.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,8,1
19.5,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",5,0
72.3,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Divorced,6,0
27.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,"Single, never married",9,0
45.2,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",Two children,Married,10,1
62.6,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,9,1
28.5,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,Living common-law,9,1
56.7,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Divorced,9,0
58.3,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",5,0
60.8,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
66.3,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,8,1
32.9,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",One child,Married,10,1
39.3,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Two children,Living common-law,8,1
56.5,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
34.1,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",Two children,Married,10,1
47.6,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Divorced,10,0
22.4,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",8,0
65.3,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,Separated,2,0
22,Female,Less than high school diploma or its equivalent,"Less than $25,000",One child,Married,10,1
49.6,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Divorced,9,0
22.7,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",5,0
65.5,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,Married,9,1
34.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",7,0
50.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",7,0
37.2,Male,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",No child,Married,8,1
80,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,9,1
61.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
59.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Separated,9,0
41.9,Female,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",No child,Married,8,1
65.6,Male,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",No child,Married,1,1
17.3,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",9,0
80,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,Married,7,1
76.8,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
35.8,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Two children,Married,10,1
66.7,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
26.5,Female,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",10,0
55.1,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
16.8,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",8,0
57.9,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,9,1
27.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",7,0
16.1,Male,Less than high school diploma or its equivalent,"Less than $25,000",Two children,"Single, never married",10,0
71.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,9,1
68.8,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Divorced,6,0
80,Male,Trade certificate or diploma,"$50,000 to $74,999",No child,"Single, never married",8,0
55,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",No child,"Single, never married",10,0
